Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
23,0.0011323023005909505,Graduación,0.9988676976994091,9922572.8606604,11235.3520779071,9916955.184621446,548817431.9038196,55.309992641091355,0.01037641,36.91565917332111,-89.08772590336204,49.827996789676185
24,0.0011663286150471923,Graduación,0.9988336713849528,9911337.508582493,11559.87654965031,9905557.570307668,538900476.7191981,54.37212447387144,0.01061386,36.297484964279306,-89.01126814328443,49.79584543496485
25,0.001220042926070998,Graduación,0.998779957073929,9899777.632032843,12078.153669637566,9893738.555198025,528994919.14889044,53.435030443230815,0.01071761,35.68151045079255,-88.61646462158076,49.755516983849894
26,0.0012915692609339045,Graduación,0.9987084307390661,9887699.478363205,12770.648707606117,9881314.154009402,519101180.59369236,52.49969234295778,0.01094971,35.062657140589096,-88.2045345407878,49.73107181367407
27,0.0013653654220923345,Graduación,0.9986346345779077,9874928.829655599,13482.88636963448,9868187.386470782,509219866.43968296,51.56694040269277,0.01118516,34.44529801976914,-87.79306311136959,49.70676222077403
28,0.0014650842755858965,Graduación,0.9985349157244141,9861445.943285964,14447.849386048596,9854222.01859294,499351679.0532122,50.63676076764273,0.01142773,33.82927646976773,-87.1795686843678,49.683250875599946
29,0.0015784219891173431,Graduación,0.9984215780108826,9846998.093899917,15542.718318208194,9839226.734740812,489497457.0346193,49.710323122521615,0.01167715,33.21455732798142,-86.48281482110495,49.66426507404761
30,0.0016423057051623232,Graduación,0.9983576942948377,9831455.375581708,16146.25525336663,9823382.247955024,479658230.2998784,48.788120575840786,0.01183078,32.60108364688868,-86.11836493314622,49.65183705019858
31,0.0016910110259833837,Graduación,0.9983089889740167,9815309.12032834,16597.79594591049,9807010.222355384,469834848.0519234,47.86755488717675,0.01217004,31.985411402399972,-86.10513173347513,49.654335487412524
32,0.001750798381645621,Graduación,0.9982492016183544,9798711.32438243,17155.56792894138,9790133.54041796,460027837.829568,46.94778962258709,0.01242405,31.37331087062795,-85.9079898934275,49.64244550466027
33,0.0018546932780866697,Graduación,0.9981453067219134,9781555.75645349,18141.785710724256,9772484.863598127,450237704.28915006,46.02925296337454,0.01260603,30.76170789257064,-85.2872531789416,49.631656096998476
34,0.0019400123992024073,Graduación,0.9980599876007976,9763413.970742766,18941.144161786975,9753943.398661874,440465219.42555195,45.11385266930794,0.01274172,30.1480582341116,-84.7743287468065,49.640989542281716
35,0.002052490477377136,Graduación,0.9979475095226229,9744472.82658098,20000.43768361773,9734472.607739171,430711276.0268901,44.200572333887116,0.0128699,29.530701017885203,-84.05200912689969,49.6766782038704
36,0.0022193527388275265,Graduación,0.9977806472611724,9724472.388897361,21582.03442995202,9713681.371682385,420976803.4191509,43.290451819246165,0.01313684,28.909194409009718,-83.10588589929141,49.74630979600886
37,0.002328099037331615,Graduación,0.9976719009626683,9702890.354467409,22589.289693569786,9691595.709620625,411263122.04746854,42.38563015999811,0.01348688,28.28736947583464,-82.73804588361715,49.839419307643084
38,0.0024162599003290245,Graduación,0.997583740099671,9680301.064773839,23390.123285925387,9668606.003130876,401571526.3378479,41.483371607020345,0.01392834,27.66725790310284,-82.65220478298905,49.93669322888717
39,0.0025591772364209142,Graduación,0.997440822763579,9656910.941487914,24713.746655599927,9644554.068160113,391902920.33471704,40.58263793766887,0.01446344,27.050997564520653,-82.30588825050668,50.022703750104746
40,0.002636153178680041,Graduación,0.99736384682132,9632197.194832314,25391.947252830178,9619501.221205898,382258366.2665569,39.68547970255831,0.01491453,26.440652069285644,-82.32493294337777,50.09266639327063
41,0.0026646054332527566,Graduación,0.9973353945667472,9606805.247579483,25598.345458901385,9594006.074850034,372638865.045351,38.789051660981734,0.01560964,25.833402389221764,-82.92974448319912,50.15076634723632
42,0.0027533218718977055,Graduación,0.9972466781281023,9581206.902120583,26380.146522785857,9568016.82885919,363044858.97050095,37.891349459340994,0.01637149,25.235118321579016,-83.18221571831455,50.15324666395323
43,0.0029044808884852173,Graduación,0.9970955191115147,9554826.755597796,27751.811704421016,9540950.849745587,353476842.1416418,36.99458411787044,0.01718933,24.646809054547447,-83.10300117290657,50.09887907191285
44,0.003039280428909926,Graduación,0.9969607195710901,9527074.943893375,28955.452421733266,9512597.217682507,343935891.2918962,36.10089070542589,0.01805512,24.069136041784574,-83.16665616783536,49.9883113492479
45,0.003181782489386723,Graduación,0.9968182175106133,9498119.49147164,30220.950280067194,9483009.016331607,334423294.0742137,35.209421651779834,0.01883983,23.50250413422857,-83.11140552018398,49.81136244329619
46,0.0033756061744841257,Graduación,0.9966243938255158,9467898.541191574,31959.896775035522,9451918.592804056,324940285.0578821,34.32021199257454,0.01978603,22.944188663129864,-82.9394467991602,49.58128394282847
47,0.0035632084601340723,Graduación,0.996436791539866,9435938.644416539,33622.216407091044,9419127.536212994,315488366.46507806,33.43476238601443,0.02077704,22.397234022414374,-82.85025942033094,49.280765439848864
48,0.0036917994957886735,Graduación,0.9963082005042113,9402316.428009449,34711.467048170845,9384960.694485363,306069238.928865,32.55253545999435,0.02181627,21.861847012262025,-83.07776950052106,48.901121857343796
49,0.003769803922535971,Graduación,0.996230196077464,9367604.960961279,35314.03392659925,9349947.94399798,296684278.23437965,31.671305469304794,0.02290607,21.33827675426786,-83.5423364962389,48.4248509569557
50,0.0038936058060281054,Graduación,0.9961063941939718,9332290.927034678,36336.26213704563,9314122.795966156,287334330.29038167,30.78925984379719,0.02419355,20.82678969182406,-83.90643040798847,47.83488141662121
